date,cum_diagnoses,cum_deaths
2020-01-20,1.0,0.0
2020-01-21,1.0,0.0
2020-01-22,1.0,0.0
2020-01-23,1.0,0.0
2020-01-24,2.0,0.0
2020-01-25,2.0,0.0
2020-01-26,3.0,0.0
2020-01-27,4.0,0.0
2020-01-28,4.0,0.0
2020-01-29,4.0,0.0
2020-01-30,7.0,0.0
2020-01-31,11.0,0.0
2020-02-01,12.0,0.0
2020-02-02,15.0,0.0
2020-02-03,15.0,0.0
2020-02-04,16.0,0.0
2020-02-05,21.0,0.0
2020-02-06,24.0,0.0
2020-02-07,24.0,0.0
2020-02-08,24.0,0.0
2020-02-09,27.0,0.0
2020-02-10,28.0,0.0
2020-02-11,28.0,0.0
2020-02-12,28.0,0.0
2020-02-13,28.0,0.0
2020-02-14,28.0,0.0
2020-02-15,28.0,0.0
2020-02-16,30.0,0.0
2020-02-17,30.0,0.0
2020-02-18,32.0,0.0
2020-02-19,66.0,0.0
2020-02-20,82.0,1.0
2020-02-21,156.0,1.0
2020-02-22,346.0,3.0
2020-02-23,556.0,3.0
2020-02-24,763.0,7.0
2020-02-25,893.0,8.0
2020-02-26,1146.0,10.0
2020-02-27,1595.0,11.0
2020-02-28,2022.0,12.0
2020-02-29,2931.0,15.0
2020-03-01,3526.0,16.0
2020-03-02,4212.0,22.0
2020-03-03,4812.0,27.0
2020-03-04,5328.0,31.0
2020-03-05,5766.0,34.0
2020-03-06,6284.0,41.0
2020-03-07,6767.0,43.0
2020-03-08,7134.0,49.0
2020-03-09,7382.0,50.0
2020-03-10,7513.0,53.0
2020-03-11,7755.0,59.0
2020-03-12,7869.0,65.0
2020-03-13,7979.0,66.0
2020-03-14,8086.0,71.0
2020-03-15,8162.0,74.0
2020-03-16,8236.0,74.0
2020-03-17,8320.0,80.0
2020-03-18,8413.0,83.0
2020-03-19,8565.0,90.0
2020-03-20,8652.0,93.0
2020-03-21,8799.0,101.0
2020-03-22,8897.0,103.0
2020-03-23,8961.0,110.0
2020-03-24,9037.0,119.0
2020-03-25,9137.0,125.0
2020-03-26,9241.0,130.0
2020-03-27,9332.0,138.0
2020-03-28,9478.0,143.0
2020-03-29,9583.0,151.0
2020-03-30,9661.0,157.0
2020-03-31,9786.0,161.0
2020-04-01,9887.0,164.0
2020-04-02,9976.0,168.0
2020-04-03,10062.0,173.0
2020-04-04,10156.0,176.0
2020-04-05,10237.0,182.0
2020-04-06,10284.0,184.0
2020-04-07,10331.0,190.0
2020-04-08,10384.0,197.0
2020-04-09,10423.0,201.0
2020-04-10,10450.0,205.0
2020-04-11,10480.0,208.0
2020-04-12,10512.0,211.0
2020-04-13,10537.0,214.0
2020-04-14,10564.0,219.0
2020-04-15,10591.0,222.0
2020-04-16,10613.0,226.0
2020-04-17,10635.0,227.0
2020-04-18,10653.0,229.0
2020-04-19,10661.0,231.0
2020-04-20,10674.0,233.0
2020-04-21,10683.0,234.0
2020-04-22,10694.0,235.0
2020-04-23,10702.0,237.0
2020-04-24,10708.0,237.0
2020-04-25,10718.0,237.0
2020-04-26,10728.0,239.0
2020-04-27,10738.0,240.0
2020-04-28,10752.0,241.0
2020-04-29,10761.0,243.0
2020-04-30,10765.0,244.0
2020-05-01,10774.0,245.0
2020-05-02,10780.0,247.0
2020-05-03,10793.0,247.0
2020-05-04,10801.0,249.0
2020-05-05,10804.0,251.0
2020-05-06,10806.0,252.0
2020-05-07,10810.0,253.0
2020-05-08,10822.0,253.0
2020-05-09,10840.0,253.0
2020-05-10,10874.0,253.0
2020-05-11,10909.0,253.0
2020-05-12,10936.0,255.0
2020-05-13,10962.0,256.0
2020-05-14,10991.0,257.0
2020-05-15,11018.0,257.0
2020-05-16,11037.0,259.0
2020-05-17,11050.0,259.0
2020-05-18,11065.0,260.0
2020-05-19,11078.0,260.0
2020-05-20,11110.0,260.0
2020-05-21,11122.0,261.0
2020-05-22,11142.0,261.0
2020-05-23,11165.0,263.0
2020-05-24,11190.0,263.0
2020-05-25,11206.0,264.0
2020-05-26,11225.0,266.0
2020-05-27,11265.0,266.0
2020-05-28,11344.0,266.0
2020-05-29,11402.0,266.0
2020-05-30,11441.0,266.0
2020-05-31,11468.0,267.0
2020-06-01,11503.0,268.0
2020-06-02,11541.0,269.0
2020-06-03,11590.0,270.0
2020-06-04,11629.0,270.0
2020-06-05,11668.0,270.0
2020-06-06,11719.0,270.0
2020-06-07,11776.0,270.0
2020-06-08,11813.0,270.0
2020-06-09,11851.0,271.0
2020-06-10,11901.0,273.0
2020-06-11,11946.0,273.0
2020-06-12,12002.0,274.0
2020-06-13,12050.0,274.0
2020-06-14,12084.0,274.0
2020-06-15,12121.0,274.0
2020-06-16,12155.0,275.0
2020-06-17,12198.0,276.0
2020-06-18,12257.0,277.0
2020-06-19,12306.0,277.0
2020-06-20,12373.0,277.0
2020-06-21,12421.0,277.0
2020-06-22,12438.0,277.0
2020-06-23,12484.0,278.0
2020-06-24,12535.0,278.0
2020-06-25,12563.0,279.0
2020-06-26,12602.0,279.0
2020-06-27,12653.0,279.0
2020-06-28,12715.0,279.0
2020-06-29,12757.0,279.0
2020-06-30,12799.0,279.0
2020-07-01,12850.0,279.0
2020-07-02,12904.0,279.0
2020-07-03,12965.0,279.0
2020-07-04,13028.0,280.0
2020-07-05,13089.0,280.0
2020-07-06,13137.0,281.0
2020-07-07,13181.0,282.0
2020-07-08,13243.0,282.0
2020-07-09,13293.0,284.0
2020-07-10,13338.0,285.0
2020-07-11,13373.0,285.0
2020-07-12,13417.0,286.0
2020-07-13,13479.0,286.0
2020-07-14,13512.0,286.0
2020-07-15,13551.0,286.0
2020-07-16,13612.0,287.0
2020-07-17,13672.0,289.0
2020-07-18,13711.0,290.0
2020-07-19,13745.0,291.0
2020-07-20,13771.0,292.0
2020-07-21,13816.0,292.0
2020-07-22,13879.0,293.0
2020-07-23,13938.0,293.0
2020-07-24,13979.0,294.0
2020-07-25,14092.0,294.0
2020-07-26,14150.0,294.0
2020-07-27,14175.0,295.0
2020-07-28,14203.0,296.0
2020-07-29,14251.0,296.0
2020-07-30,14269.0,296.0
2020-07-31,14305.0,297.0
2020-08-01,14336.0,297.0
2020-08-02,14366.0,297.0
2020-08-03,14389.0,297.0
2020-08-04,14423.0,297.0
2020-08-05,14456.0,298.0
2020-08-06,14499.0,298.0
2020-08-07,14519.0,299.0
2020-08-08,14562.0,300.0
2020-08-09,14598.0,301.0
2020-08-10,14626.0,301.0
2020-08-11,14660.0,301.0
2020-08-12,14714.0,301.0
2020-08-13,14770.0,301.0
2020-08-14,14873.0,301.0
2020-08-15,15039.0,301.0
2020-08-16,15318.0,301.0
2020-08-17,15515.0,301.0
2020-08-18,15761.0,302.0
2020-08-19,16058.0,302.0
2020-08-20,16346.0,303.0
2020-08-21,16670.0,305.0
2020-08-22,17002.0,305.0
2020-08-23,17398.0,305.0
2020-08-24,17664.0,305.0
2020-08-25,17944.0,306.0
2020-08-26,18264.0,308.0
2020-08-27,18705.0,309.0
2020-08-28,19076.0,312.0
2020-08-29,19399.0,317.0
2020-08-30,19698.0,319.0
2020-08-31,19946.0,320.0
2020-09-01,20181.0,320.0
2020-09-02,20448.0,322.0
2020-09-03,20643.0,325.0
2020-09-04,20841.0,327.0
2020-09-05,21009.0,329.0
2020-09-06,21176.0,330.0
2020-09-07,21295.0,332.0
2020-09-08,21431.0,337.0
2020-09-09,21587.0,340.0
2020-09-10,21742.0,342.0
2020-09-11,21918.0,346.0
2020-09-12,22054.0,351.0
2020-09-13,22175.0,354.0
2020-09-14,22284.0,359.0
2020-09-15,22390.0,362.0
2020-09-16,22503.0,362.0
2020-09-17,22656.0,367.0
2020-09-18,22782.0,372.0
2020-09-19,22892.0,373.0
2020-09-20,22974.0,378.0
2020-09-21,23044.0,380.0
2020-09-22,23105.0,383.0
2020-09-23,23215.0,383.0
2020-09-24,23340.0,388.0
2020-09-25,23454.0,390.0
2020-09-26,23515.0,394.0
2020-09-27,23610.0,396.0
2020-09-28,23660.0,401.0
2020-09-29,23698.0,402.0
2020-09-30,23811.0,408.0
2020-10-01,23888.0,410.0
2020-10-02,23951.0,411.0
2020-10-03,24026.0,415.0
2020-10-04,24090.0,416.0
2020-10-05,24163.0,417.0
2020-10-06,24238.0,417.0
2020-10-07,24352.0,420.0
2020-10-08,24421.0,422.0
2020-10-09,24475.0,423.0
2020-10-10,24547.0,425.0
2020-10-11,24605.0,427.0
2020-10-12,24703.0,428.0
2020-10-13,24794.0,429.0
2020-10-14,24878.0,433.0
2020-10-15,24988.0,434.0
2020-10-16,25035.0,436.0
2020-10-17,25108.0,438.0
2020-10-18,25199.0,439.0
2020-10-19,25275.0,439.0
2020-10-20,25333.0,442.0
2020-10-21,25422.0,445.0
2020-10-22,25543.0,448.0
2020-10-23,25698.0,450.0
2020-10-24,25775.0,452.0
2020-10-25,25836.0,452.0
2020-10-26,25955.0,452.0
2020-10-27,26043.0,455.0
2020-10-28,26146.0,456.0
2020-10-29,26271.0,457.0
2020-10-30,26384.0,458.0
2020-10-31,26511.0,459.0
2020-11-01,26635.0,461.0
2020-11-02,26732.0,463.0
2020-11-03,26807.0,467.0
2020-11-04,26924.0,469.0
2020-11-05,27049.0,470.0
2020-11-06,27194.0,471.0
2020-11-07,27283.0,472.0
2020-11-08,27426.0,473.0
2020-11-09,27552.0,475.0
2020-11-10,27652.0,479.0
2020-11-11,27797.0,481.0
2020-11-12,27940.0,481.0
2020-11-13,28131.0,482.0
2020-11-14,28336.0,486.0
2020-11-15,28544.0,487.0
2020-11-16,28766.0,488.0
2020-11-17,28996.0,488.0
2020-11-18,29281.0,490.0
2020-11-19,29606.0,492.0
2020-11-20,29954.0,494.0
2020-11-21,30340.0,496.0
2020-11-22,30670.0,498.0
2020-11-23,30941.0,502.0
2020-11-24,31290.0,503.0
2020-11-25,31672.0,506.0
2020-11-26,32253.0,508.0
2020-11-27,32808.0,509.0
2020-11-28,33311.0,515.0
2020-11-29,33761.0,516.0
2020-11-30,34199.0,518.0
2020-12-01,34650.0,518.0
2020-12-02,35161.0,518.0
2020-12-03,35701.0,521.0
2020-12-04,36329.0,528.0
2020-12-05,36906.0,531.0
2020-12-06,37537.0,536.0
2020-12-07,38152.0,540.0
2020-12-08,38739.0,543.0
2020-12-09,39409.0,547.0
2020-12-10,40088.0,555.0
2020-12-11,40777.0,563.0
2020-12-12,41727.0,569.0
2020-12-13,42757.0,571.0
2020-12-14,43475.0,578.0
2020-12-15,44354.0,591.0
2020-12-16,45432.0,603.0
2020-12-17,46445.0,625.0
2020-12-18,47509.0,636.0
2020-12-19,48554.0,650.0
2020-12-20,49650.0,665.0
