date,new_diagnoses,new_deaths
2020-01-20,1.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,1.0,0.0
2020-01-25,0.0,0.0
2020-01-26,1.0,0.0
2020-01-27,1.0,0.0
2020-01-28,0.0,0.0
2020-01-29,0.0,0.0
2020-01-30,3.0,0.0
2020-01-31,4.0,0.0
2020-02-01,1.0,0.0
2020-02-02,3.0,0.0
2020-02-03,0.0,0.0
2020-02-04,1.0,0.0
2020-02-05,5.0,0.0
2020-02-06,3.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,3.0,0.0
2020-02-10,1.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,2.0,0.0
2020-02-17,0.0,0.0
2020-02-18,2.0,0.0
2020-02-19,34.0,0.0
2020-02-20,16.0,1.0
2020-02-21,74.0,0.0
2020-02-22,190.0,2.0
2020-02-23,210.0,0.0
2020-02-24,207.0,4.0
2020-02-25,130.0,1.0
2020-02-26,253.0,2.0
2020-02-27,449.0,1.0
2020-02-28,427.0,1.0
2020-02-29,909.0,3.0
2020-03-01,595.0,1.0
2020-03-02,686.0,6.0
2020-03-03,600.0,5.0
2020-03-04,516.0,4.0
2020-03-05,438.0,3.0
2020-03-06,518.0,7.0
2020-03-07,483.0,2.0
2020-03-08,367.0,6.0
2020-03-09,248.0,1.0
2020-03-10,131.0,3.0
2020-03-11,242.0,6.0
2020-03-12,114.0,6.0
2020-03-13,110.0,1.0
2020-03-14,107.0,5.0
2020-03-15,76.0,3.0
2020-03-16,74.0,0.0
2020-03-17,84.0,6.0
2020-03-18,93.0,3.0
2020-03-19,152.0,7.0
2020-03-20,87.0,3.0
2020-03-21,147.0,8.0
2020-03-22,98.0,2.0
2020-03-23,64.0,7.0
2020-03-24,76.0,9.0
2020-03-25,100.0,6.0
2020-03-26,104.0,5.0
2020-03-27,91.0,8.0
2020-03-28,146.0,5.0
2020-03-29,105.0,8.0
2020-03-30,78.0,6.0
2020-03-31,125.0,4.0
2020-04-01,101.0,3.0
2020-04-02,89.0,4.0
2020-04-03,86.0,5.0
2020-04-04,94.0,3.0
